plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,plume_png_object,plume_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20220424t195545-A,33.796238,-118.229959,2022-04-24T19:55:45+00,Electricity Generation (1A1),CH4,mf,"[-118.23406094117149, 33.79459342127596, -118.22650985871141, 33.80089630772875]",ang,,,359.6747937,167.0868156,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220424t201533-A,33.926404,-118.430042,2022-04-24T20:15:33+00,Solid Waste (6A),CH4,mf,"[-118.4334995473112, 33.92316724174873, -118.42593767928699, 33.92946963380435]",ang,,,159.9614908,69.15905647,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220424t202503-A,34.335794,-118.519036,2022-04-24T20:25:03+00,Oil & Gas (1B2),CH4,mf,"[-118.52255447487069, 34.33218192158997, -118.51584859617492, 34.337695044260784]",ang,,,,,,,,,,AVIRIS-NG,NASA-JPL
ang20220424t202503-C,34.325628,-118.518964,2022-04-24T20:25:03+00,Solid Waste (6A),CH4,mf,"[-118.52245719313981, 34.32390345655839, -118.51416399263445, 34.330752225520605]",ang,,,1626.118514,478.8544181,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220424t203219-A,34.403924,-118.995836,2022-04-24T20:32:19+00,Solid Waste (6A),CH4,mf,"[-118.99932412056278, 34.40105592467083, -118.9918685878327, 34.4071803029579]",ang,,,514.8495947,142.6826087,,,,,hrrr,AVIRIS-NG,NASA-JPL
GAO20220425t151201p0000-A,34.135435,-84.037699,2022-04-25T15:12:01+00,Solid Waste (6A),CH4,mf,"[-84.04245901876008, 34.13274817799903, -84.02561063532144, 34.14669310420963]",GAO,,,1952.904283,680.6600498,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220425t151201p0000-B,34.136976,-84.034457,2022-04-25T15:12:01+00,Solid Waste (6A),CH4,mf,"[-84.04245728372825, 34.13274829769885, -84.02560905188699, 34.146742543978334]",GAO,,,1944.361098,916.4200995,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220425t151656p0000-B,34.135219,-84.03704,2022-04-25T15:16:56+00,Solid Waste (6A),CH4,mf,"[-84.04310099332687, 34.13162167023054, -84.02935978211234, 34.142945756501916]",GAO,,,1919.26794,611.9693365,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220425t153114p0000-A,33.658484,-84.257348,2022-04-25T15:31:14+00,Solid Waste (6A),CH4,mf,"[-84.26305587826228, 33.655275048853014, -84.24950797303595, 33.66655140982458]",GAO,,,1998.691523,751.7989248,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220425t153114p0000-B,33.660363,-84.255942,2022-04-25T15:31:14+00,Solid Waste (6A),CH4,mf,"[-84.26268624617134, 33.65571299397435, -84.24919753934572, 33.66698948332684]",GAO,,,3122.217443,1582.826662,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220425t154813p0000-A,33.237053,-84.116976,2022-04-25T15:48:13+00,Solid Waste (6A),CH4,mf,"[-84.12807835780822, 33.2323863885541, -84.1041887091127, 33.25231726286695]",GAO,,,2356.212506,786.1626992,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220425t161927p0000-A,33.996324,-85.178355,2022-04-25T16:19:27+00,Solid Waste (6A),CH4,mfm,"[-85.18280186414628, 33.9929691841115, -85.16925467214276, 34.004200502353925]",GAO,,,484.0696852,195.320037,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220425t172418p0000-B,33.605171,-86.519297,2022-04-25T17:24:18+00,Solid Waste (6A),CH4,mf,"[-86.52605586882436, 33.599720498578726, -86.51274507936743, 33.61075717244305]",GAO,,,,,,,,,,Global Airborne Observatory,ASU GDCS
GAO20220427t151110p0000-B,33.235213,-84.117858,2022-04-27T15:11:10+00,Solid Waste (6A),CH4,mf,"[-84.12527704792905, 33.23018609756561, -84.11185487758372, 33.24146214960096]",GAO,,,,,,,,,,Global Airborne Observatory,ASU GDCS
